"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/20/2023","AQS","160010010","1","0.051","ppm","47","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/21/2023","AQS","160010010","1","0.048","ppm","44","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/22/2023","AQS","160010010","1","0.05","ppm","46","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/23/2023","AQS","160010010","1","0.038","ppm","35","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/24/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/25/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/26/2023","AQS","160010010","1","0.048","ppm","44","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/27/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/28/2023","AQS","160010010","1","0.057","ppm","58","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/29/2023","AQS","160010010","1","0.063","ppm","77","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/30/2023","AQS","160010010","1","0.056","ppm","54","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/01/2023","AQS","160010010","1","0.053","ppm","49","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/02/2023","AQS","160010010","1","0.048","ppm","44","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/03/2023","AQS","160010010","1","0.049","ppm","45","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/05/2023","AQS","160010010","1","0.035","ppm","32","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/06/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/07/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/08/2023","AQS","160010010","1","0.045","ppm","42","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/09/2023","AQS","160010010","1","0.046","ppm","43","Meridian - St. Luke's","13","76.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/11/2023","AQS","160010010","1","0.049","ppm","45","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/12/2023","AQS","160010010","1","0.047","ppm","44","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/13/2023","AQS","160010010","1","0.054","ppm","50","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/14/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
